country,density_km2,density_mi,population,land_area_km2,land_area_mi
 Macau (China),21826.00,56530.00,720262.00,33.00,13.00
 Monaco,19000.00,49000.00,38631.00,2.00,0.77
 Singapore,8290.00,21500.00,6110200.00,737.00,285.00
 Hong Kong (China),7062.00,18290.00,7414910.00,1050.00,410.00
 Gibraltar (UK),5800.00,15000.00,39329.00,6.80,2.60
 Bahrain,2034.00,5270.00,1607049.00,790.00,310.00
 Vatican City,1800.00,4700.00,882.00,0.44,0.17
 Maldives,1759.00,4560.00,527799.00,298.00,115.00
 Malta,1686.00,4370.00,539607.00,320.00,120.00
 Bangladesh,1333.00,3450.00,173562364.00,130170.00,50260.00
 Sint Maarten (NL),1275.00,3300.00,43351.00,34.00,13.00
 Bermuda (UK),1197.00,3100.00,64637.00,54.00,21.00
 Palestine,892.00,2310.00,5371230.00,6020.00,2320.00
 Jersey (UK),891.00,2310.00,103387.00,116.00,45.00
 Guernsey (UK),867.00,2250.00,67642.00,78.00,30.00
 Barbados,657.00,1700.00,282468.00,430.00,170.00
 Taiwan,656.00,1700.00,23213962.00,35410.00,13670.00
 Mauritius,637.00,1650.00,1271169.00,1997.00,771.00
 Aruba (NL),600.00,1600.00,108066.00,180.00,69.00
 Nauru,597.00,1550.00,11947.00,20.00,7.70
 Rwanda,578.00,1500.00,14256567.00,24670.00,9530.00
 Lebanon,568.00,1470.00,5805962.00,10230.00,3950.00
 Saint Barthélemy (France),563.00,1460.00,11258.00,20.00,7.70
 San Marino,560.00,1500.00,33581.00,60.00,23.00
 Burundi,547.00,1420.00,14047786.00,25680.00,9920.00
 Netherlands,541.00,1400.00,18080943.00,33670.00,13000.00
 South Korea,530.00,1400.00,51717590.00,97600.00,37700.00
 Saint Martin (France),523.00,1350.00,26129.00,50.00,19.00
 India,488.00,1260.00,1450935791.00,3287263.00,1269219.00
 Israel,468.00,1210.00,10148000.00,21640.00,8360.00
 Comoros,466.00,1210.00,866628.00,1861.00,719.00
 Haiti,427.00,1110.00,11772557.00,27560.00,10640.00
 Curaçao (NL),418.00,1080.00,185482.00,444.00,171.00
 Philippines,389.00,1010.00,115843670.00,298170.00,115120.00
 Belgium,385.00,1000.00,11738764.00,30494.00,11774.00
 Sri Lanka,373.00,970.00,23103565.00,61860.00,23880.00
 Puerto Rico (US),366.00,950.00,3242204.00,8870.00,3420.00
 Grenada,345.00,890.00,117208.00,340.00,130.00
 Japan,340.00,880.00,123753041.00,364500.00,140700.00
 Tuvalu,322.00,830.00,9646.00,30.00,12.00
 Guam (US),311.00,810.00,167777.00,540.00,210.00
 Cayman Islands (UK),310.00,800.00,74458.00,240.00,93.00
 El Salvador,306.00,790.00,6338193.00,20720.00,8000.00
 Vietnam,303.00,780.00,100987687.00,331212.00,127882.00
 Saint Lucia,295.00,760.00,179744.00,610.00,240.00
 Trinidad and Tobago,294.00,760.00,1507782.00,5130.00,1980.00
 Pakistan,289.00,750.00,255300000.00,882363.00,340682.00
 United Kingdom,285.00,740.00,69281437.00,242741.00,93723.00
 Seychelles,284.00,740.00,130419.00,460.00,180.00
 Kuwait,277.00,720.00,4934508.00,17820.00,6880.00
 Gambia,273.00,710.00,2759988.00,10120.00,3910.00
 Qatar,265.00,690.00,3048423.00,11490.00,4440.00
 British Virgin Islands (UK),263.00,680.00,39471.00,150.00,58.00
 Jamaica,262.00,680.00,2839175.00,10830.00,4180.00
 Luxembourg,261.00,680.00,673036.00,2575.00,994.00
 Saint Vincent and the Grenadines,258.00,670.00,100616.00,390.00,150.00
 Nigeria,255.00,660.00,232679478.00,910770.00,351650.00
 Tokelau (New Zealand),251.00,650.00,2507.00,10.00,3.90
 Uganda,249.00,640.00,50015093.00,200520.00,77420.00
 Liechtenstein,249.00,640.00,39870.00,160.00,62.00
 São Tomé and Príncipe,245.00,630.00,235537.00,960.00,370.00
 U.S. Virgin Islands (US),243.00,630.00,84905.00,350.00,140.00
 Germany,242.00,630.00,84552242.00,349360.00,134890.00
 Dominican Republic,237.00,610.00,11427557.00,48198.00,18609.00
 American Samoa (US),234.00,610.00,46765.00,200.00,77.00
 Malawi,230.00,600.00,21655286.00,94280.00,36400.00
 Switzerland,226.00,590.00,8921981.00,39510.00,15250.00
 North Korea,220.00,570.00,26498823.00,120410.00,46490.00
 Antigua and Barbuda,213.00,550.00,93772.00,440.00,170.00
 Marshall Islands,209.00,540.00,37548.00,180.00,69.00
 Nepal,207.00,540.00,29651055.00,143350.00,55350.00
 Italy,201.00,520.00,59342867.00,295720.00,114180.00
 Saint Kitts and Nevis,180.00,470.00,46843.00,260.00,100.00
 Togo,175.00,450.00,9515236.00,54390.00,21000.00
 Andorra,174.00,450.00,81938.00,470.00,180.00
 Guatemala,172.00,450.00,18406359.00,107160.00,41370.00
 Bonaire (NL),169.00,440.00,26552.00,288.00,111.00
 Saba (NL),166.00,430.00,2158.00,13.00,5.00
 Kiribati,166.00,430.00,134518.00,810.00,310.00
 Anguilla (UK),162.00,420.00,14599.00,90.00,35.00
 Micronesia,162.00,420.00,113161.00,700.00,270.00
 Sint Eustatius (NL),156.00,400.00,3270.00,21.00,8.10
 United Arab Emirates,155.00,400.00,11027129.00,71020.00,27420.00
 Kosovo,154.00,400.00,1674125.00,10887.00,4203.00
 Ghana,151.00,390.00,34427414.00,227533.00,87851.00
 China,151.00,390.00,1419321278.00,9388210.00,3624810.00
 Indonesia,150.00,390.00,283487931.00,1892555.00,730720.00
 Denmark,149.00,390.00,5977413.00,40000.00,15000.00
 Isle of Man (UK),148.00,380.00,84161.00,570.00,220.00
 Cyprus,147.00,380.00,1358282.00,9240.00,3570.00
 Northern Cyprus,146.00,380.00,489308.00,3355.00,1295.00
 Tonga,145.00,380.00,104176.00,720.00,280.00
 Thailand,140.00,360.00,71668011.00,510890.00,197260.00
 Czech Republic,139.00,360.00,10735860.00,77171.00,29796.00
 Syria,133.00,340.00,24672760.00,185178.00,71498.00
 Cape Verde,130.00,340.00,524877.00,4030.00,1560.00
 Jordan,130.00,340.00,11552876.00,88794.00,34284.00
 Benin,128.00,330.00,14462724.00,112760.00,43540.00
 Poland,126.00,330.00,38539201.00,306090.00,118180.00
 Azerbaijan,125.00,320.00,10336578.00,82650.00,31910.00
 France,122.00,320.00,66548531.00,547557.00,211413.00
 Sierra Leone,120.00,310.00,8642023.00,72180.00,27870.00
 Egypt,117.00,300.00,116538258.00,995450.00,384350.00
 Ethiopia,117.00,300.00,132059768.00,1128571.00,435744.00
 Slovakia,115.00,300.00,5506760.00,48080.00,18560.00
 Portugal,114.00,300.00,10425293.00,91606.00,35369.00
 Turkey,114.00,300.00,87473805.00,769630.00,297160.00
 Austria,111.00,290.00,9120813.00,82520.00,31860.00
 Malaysia,108.00,280.00,35557674.00,328550.00,126850.00
 Iraq,106.00,270.00,46042015.00,434128.00,167618.00
 Hungary,106.00,270.00,9676135.00,91260.00,35240.00
 Slovenia,105.00,270.00,2118697.00,20136.00,7775.00
 Armenia,104.00,270.00,2973841.00,28470.00,10990.00
 Albania,102.00,260.00,2791765.00,27400.00,10600.00
 Costa Rica,100.00,260.00,5129910.00,51060.00,19710.00
 Ivory Coast,100.00,260.00,31934230.00,318000.00,123000.00
 Cambodia,100.00,260.00,17638801.00,176520.00,68150.00
 Kenya,99.00,260.00,56432945.00,569140.00,219750.00
 Honduras,97.00,250.00,10825704.00,111890.00,43200.00
 Northern Mariana Islands (US),96.00,250.00,44278.00,460.00,180.00
 Senegal,96.00,250.00,18501985.00,192530.00,74340.00
 Spain,97.00,250.00,49442844.00,499714.00,192941.00
 Timor-Leste,94.00,240.00,1400638.00,14870.00,5740.00
 Moldova,92.00,240.00,3034961.00,32890.00,12700.00
 Cuba,89.00,230.00,9748532.00,109820.00,42400.00
 Dominica,88.00,230.00,66205.00,750.00,290.00
 Transnistria,88.00,230.00,367000.00,4163.00,1607.00
 Brunei,88.00,230.00,462722.00,5270.00,2030.00
 Burkina Faso,86.00,220.00,23548781.00,273600.00,105600.00
 Serbia,85.00,220.00,6567783.00,88499.00,34170.00
 Myanmar,84.00,220.00,54500091.00,652670.00,252000.00
 Romania,83.00,210.00,19015088.00,230080.00,88830.00
 Uzbekistan,83.00,210.00,36361859.00,440652.00,170137.00
 French Polynesia (France),81.00,210.00,281807.00,3471.00,1340.00
 Wallis and Futuna (France),81.00,210.00,11278.00,140.00,54.00
 Tunisia,79.00,200.00,12277109.00,155360.00,59980.00
 Samoa,78.00,200.00,218020.00,2780.00,1070.00
 Guinea-Bissau,78.00,200.00,2201352.00,28120.00,10860.00
 Greece,78.00,200.00,10047817.00,128900.00,49800.00
 Tanzania,77.00,200.00,68560157.00,885800.00,342000.00
 Lesotho,77.00,200.00,2337423.00,30360.00,11720.00
 Yemen,77.00,200.00,40583165.00,527970.00,203850.00
 Tajikistan,76.00,200.00,10590928.00,138790.00,53590.00
 Ireland,76.00,200.00,5255018.00,68890.00,26600.00
 Ecuador,73.00,190.00,18135478.00,248360.00,95890.00
 North Macedonia,72.00,190.00,1823009.00,25220.00,9740.00
 Eswatini,72.00,190.00,1242822.00,17200.00,6600.00
 Akrotiri and Dhekelia (UK),72.00,190.00,18195.00,254.00,98.00
 Croatia,69.00,180.00,3875325.00,55960.00,21610.00
 Equatorial Guinea,67.00,170.00,1892517.00,28050.00,10830.00
 Mexico,67.00,170.00,130861007.00,1943950.00,750560.00
 Afghanistan,65.00,170.00,42647492.00,652230.00,251830.00
 Ukraine,65.00,170.00,37860222.00,579400.00,223700.00
 Bulgaria,62.00,160.00,6757689.00,108560.00,41920.00
 Bosnia and Herzegovina,62.00,160.00,3164253.00,51200.00,19800.00
 Cameroon,62.00,160.00,29123744.00,472710.00,182510.00
 Panama,61.00,160.00,4515577.00,74180.00,28640.00
 Norfolk Island (Australia),61.00,160.00,2188.00,36.00,14.00
 Guinea,60.00,160.00,14754786.00,245720.00,94870.00
 Liberia,58.00,150.00,5612817.00,96320.00,37190.00
 Nicaragua,57.00,150.00,6916140.00,120340.00,46460.00
 Cook Islands (New Zealand),57.00,150.00,13729.00,240.00,93.00
 Iran,56.00,150.00,91567738.00,1622500.00,626500.00
 Madagascar,55.00,140.00,31964956.00,581800.00,224600.00
 Georgia,55.00,140.00,3807670.00,69490.00,26830.00
 South Africa,53.00,140.00,64007187.00,1213090.00,468380.00
 Morocco,53.00,140.00,38081173.00,710850.00,274460.00
 Fiji,51.00,130.00,928784.00,18270.00,7050.00
 Djibouti,50.00,130.00,1168722.00,23180.00,8950.00
 Turks and Caicos Islands (UK),49.00,130.00,46535.00,950.00,370.00
 DR Congo,48.00,120.00,109276265.00,2267050.00,875310.00
 Colombia,48.00,120.00,52886364.00,1109500.00,428400.00
 Montenegro,47.00,120.00,638479.00,13450.00,5190.00
 Lithuania,46.00,120.00,2859110.00,62604.00,24172.00
 Belarus,45.00,120.00,9056696.00,202990.00,78370.00
 Mozambique,44.00,110.00,34631766.00,786380.00,303620.00
 Montserrat (UK),44.00,110.00,4389.00,100.00,39.00
Cocos (Keeling) Islands (Australia),43.00,110.00,602.00,14.00,5.40
 Zimbabwe,43.00,110.00,16634373.00,386850.00,149360.00
 Faroe Islands (Denmark),40.00,100.00,55400.00,1370.00,530.00
 Bahamas,40.00,100.00,401283.00,10010.00,3860.00
 Palau,38.00,98.00,17696.00,460.00,180.00
 United States,37.00,96.00,341730701.00,9147590.00,3531900.00
 Kyrgyzstan,37.00,96.00,7186009.00,191800.00,74100.00
 Somaliland,35.00,91.00,4914100.00,167283.00,64588.00
 Laos,34.00,88.00,7769819.00,230800.00,89100.00
 Venezuela,32.00,83.00,28405543.00,882050.00,340560.00
 Estonia,32.00,83.00,1360546.00,42730.00,16500.00
 Angola,30.00,78.00,37885850.00,1246700.00,481400.00
 Somalia,30.00,78.00,19009151.00,627340.00,242220.00
 Latvia,30.00,78.00,1871872.00,62230.00,24030.00
 Solomon Islands,29.00,75.00,819198.00,27990.00,10810.00
 Eritrea,29.00,75.00,3535603.00,121041.00,46734.00
 Zambia,29.00,75.00,21314956.00,743390.00,287020.00
 Abkhazia,28.00,73.00,244000.00,8665.00,3346.00
 Sudan,27.00,70.00,50448963.00,1868000.00,721000.00
 Vanuatu,27.00,70.00,327778.00,12190.00,4710.00
 Peru,27.00,70.00,34217848.00,1280000.00,490000.00
 Chile,27.00,70.00,19764772.00,743532.00,287079.00
 Sweden,26.00,67.00,10606999.00,407280.00,157250.00
 Brazil,25.00,65.00,211998574.00,8358140.00,3227100.00
 Saint Pierre and Miquelon (France),24.00,62.00,5628.00,230.00,89.00
 Papua New Guinea,23.00,60.00,10576502.00,452860.00,174850.00
 Niger,21.00,54.00,27032413.00,1266700.00,489100.00
 Bhutan,21.00,54.00,791525.00,38140.00,14730.00
 Mali,20.00,52.00,24478596.00,1220190.00,471120.00
 New Zealand,20.00,52.00,5213944.00,263310.00,101660.00
 Åland (Finland),20.00,52.00,30237.00,1583.00,611.00
 Algeria,20.00,52.00,47400000.00,2382000.00,920000.00
 Uruguay,19.00,49.00,3386588.00,175020.00,67580.00
 South Sudan,19.00,49.00,11943409.00,631930.00,243990.00
 Congo,19.00,49.00,6332961.00,341500.00,131900.00
 Finland,18.00,47.00,5617311.00,303948.00,117355.00
 Belize,18.00,47.00,417072.00,22810.00,8810.00
 Paraguay,17.00,44.00,6929153.00,396012.00,152901.00
 Oman,17.00,44.00,5281538.00,309500.00,119500.00
 Argentina,17.00,44.00,45696159.00,2736690.00,1056640.00
 Chad,16.00,41.00,20299123.00,1259200.00,486200.00
 New Caledonia (France),16.00,41.00,292640.00,18280.00,7060.00
 Turkmenistan,16.00,41.00,7494499.00,469930.00,181440.00
 Saudi Arabia,16.00,41.00,33962757.00,2149690.00,830000.00
 Norway,15.00,39.00,5576660.00,364270.00,140650.00
 South Ossetia,14.00,36.00,56520.00,3900.00,1500.00
" Saint Helena, Ascension and Tristan da Cunha (UK)",13.00,34.00,5238.00,390.00,150.00
 Christmas Island (Australia),13.00,34.00,1692.00,136.00,53.00
 Bolivia,11.00,28.00,12413315.00,1083300.00,418300.00
