countries,confirmed_cases,cases_in_last_7_days,confirmed_deaths,population_millions,deaths_in_last_7_days,deaths_per_million_last_7_days,daily_increases_num_deaths,deaths_per_million_total
Peru,3691213,47014,213714,32.97,121,3.67,19,6481.71
Bulgaria,1180636,5554,37279,6.93,18,2.6,2,5376.25
Bosnia and Herzegovina,379982,850,15810,3.28,2,0.61,0,4818.92
Hungary,1932788,4663,46661,9.75,14,1.44,0,4785.86
Georgia,1662299,0,16844,3.71,0,0,0,4535.27
North Macedonia,316729,1935,9337,2.07,10,4.83,2,4505.12
Moldova,521182,861,11570,2.62,3,1.14,0,4415.2
Croatia,1160253,7918,16124,4.05,35,8.65,6,3983.99
Czechia,3943792,6382,40334,10.7,10,0.93,0,3769.92
Slovakia,2559088,7972,20163,5.46,16,2.93,3,3693.65
Romania,2946174,18987,65797,19.29,42,2.18,9,3411.62
Lithuania,1166108,3277,9181,2.79,5,1.79,0,3285.15
Slovenia,1052574,9306,6661,2.1,4,1.9,1,3171.71
Brazil,33004555,394041,674102,212.56,1673,7.87,344,3171.36
USA¹,88849042,879142,1021276,329.48,3418,10.37,531,3099.62
Latvia,842127,4255,5871,1.9,9,4.73,0,3087.48
Chile,4095096,59717,58878,19.12,247,12.92,18,3080
Poland,6024488,6887,116458,37.95,21,0.55,5,3068.66
Armenia,423771,354,8629,2.96,0,0,0,2912.02
Trinidad and Tobago,168427,842,4031,1.4,15,10.72,3,2880.33
Argentina,9426171,31845,129145,45.38,36,0.79,0,2846.06
Italy,19667320,728549,169390,59.55,692,11.62,157,2844.31
Greece,3843142,88068,30476,10.72,127,11.85,0,2844.09
Belgium,4320107,54811,32015,11.56,63,5.45,0,2770.42
Colombia,6198848,23667,140202,50.88,132,2.59,0,2755.39
United Kingdom¹,22883995,142930,180718,67.22,301,4.48,0,2688.64
Paraguay,673829,12988,19036,7.13,42,5.89,0,2668.9
Russia,18198890,22758,373942,144.1,302,2.1,46,2594.94
Ukraine,5079044,-247525,113232,44.13,-3913,-88.66,-3935,2565.6
Mexico,6301645,179837,326189,128.93,321,2.49,92,2529.92
Tunisia,1087030,34850,28823,11.82,132,11.17,75,2438.78
Portugal,5266454,51753,24359,10.31,123,11.94,13,2363.67
Serbia,2045101,10557,16155,6.91,20,2.9,3,2338.52
Spain,13032841,142839,108974,47.35,715,15.1,244,2301.38
Austria,4579384,72405,20135,8.92,65,7.29,15,2257.99
Uruguay,965370,3119,7373,3.47,22,6.33,0,2122.5
France¹,30565752,863209,142571,67.39,465,6.9,101,2115.56
Ecuador,922398,6719,35755,17.64,8,0.45,0,2026.58
Estonia,585143,3583,2608,1.33,17,12.77,9,1959.35
Panama,938791,13537,8384,4.31,11,2.55,0,1943.09
Bolivia,948655,16700,21970,11.67,12,1.03,0,1882.12
Sweden,2523404,4205,19144,10.35,20,1.93,0,1849.05
Kosovo,232027,1973,3145,1.78,5,2.82,2,1771.45
South Africa,3997975,2191,101880,59.31,33,0.56,0,1717.79
Germany,29308100,634888,142139,83.24,620,7.45,104,1707.57
Iran,7255017,13369,141451,83.99,43,0.51,7,1684.08
Costa Rica,904934,0,8525,5.09,0,0,0,1673.5
Switzerland,3861756,55982,13848,8.64,13,1.51,4,1603.35
Namibia,169253,0,4068,2.54,3,1.18,3,1601
Lebanon,1126411,8871,10479,6.83,9,1.32,2,1535.29
Ireland,1614631,14017,7536,4.99,37,7.41,0,1508.79
Jordan,1702661,2135,14069,10.2,1,0.1,1,1378.89
Albania,289391,6701,3516,2.84,14,4.93,2,1239.01
Eswatini,73227,72,1417,1.16,1,0.86,0,1221.38
Israel,4472115,67901,11101,9.22,117,12.69,32,1204.42
West Bank and Gaza,662588,98,5662,4.8,0,0,0,1178.78
Turkey,15180444,0,99057,84.34,0,0,0,1174.51
Botswana,324154,1385,2753,2.35,3,1.28,0,1170.68
Guatemala,955370,33030,18748,16.86,120,7.12,23,1112.09
Denmark¹,3150165,16402,6481,5.83,36,6.17,1,1111.4
Canada,3995331,20269,42219,38.01,153,4.03,4,1110.87
Malaysia,4600736,21995,35819,32.37,32,0.99,3,1106.69
Honduras,430672,2954,10912,9.9,6,0.61,0,1101.71
Jamaica,144138,730,3158,2.96,13,4.39,0,1066.47
Kazakhstan,1399656,3072,19018,18.75,0,0,0,1014.05
Netherlands¹,6519861,33522,17222,17.44,12,0.69,3,987.44
